frame,english
Change_event_time,SOUTH AFRICA 'S National Party government and the African National Congress agreed yesterday on [Cause a course][Cause that]could [Target delay][Event majority black government][Destination_time until the end of the century].
Change_event_time,[Cause The problem]has [Target delayed][Event the second phase][Interval by 18 months].
Change_event_time,Hurworth dentist Simon Allum said : ` Despite [Agent the Government][Target delaying][Event the decision][Interval by a month]we still have not been answered .
Change_event_time,The first one was to the house in Colchester to ask if they 'd mind if [Agent I][Target delayed][Event my arrival][Interval by one more day].
Change_event_time,"[Agent He][Target delayed][Event the trip][Interval by two days], arrived in London on 8 June , and went into a series of meetings with the Commons committee , Sir Geoffrey , Mrs Thatcher and the Press . "
Change_event_time,For the first time in their history [Agent the Tuareg -- the largest tribe of Nomads in the Sahara Desert]-- recently [Target delayed][Event their annual migration][Interval for 10 days]so as to catch the final episode of Dallas
Change_event_time,"A commonly held view is that [Agent he][Target delayed][Event withdrawal][Explanation for political reasons], until after the presidential elections of December 1965 . "
Change_event_time,Or maybe that is an apocryphal story and [Agent she]thought about [Target delaying][Event the journey][Interval for twenty-four hours]because she had a hair appointment .
Change_event_time,Paul Reichmann asked [Agent me]to [Target delay][Event everything][Interval for two months]and I agreed .
Change_event_time,[Agent Many women]have been [Target delaying][Event births][Interval for years].
Change_event_time,"It must be sensible to [Target delay][Event breeding][Destination_event until the mare has had a chance to prove herself as a sound , willing ride]. "
Change_event_time,[Agent We]could have [Target delayed][Event the trial][Destination_event until the tax business was settled].
Change_event_time,One bonus of [Target delaying][Event an election][Destination_time until 1992]would be that Mr Major could use a summer reshuffle to continue reshaping the government he inherited from Mrs Thatcher .
Change_event_time,The Swedish government announced in mid-January that [Agent it]would [Target delay][Event a promised phase-out of nuclear power][Destination_event until alternative energy sources became viable].
Change_event_time,Deeper hard pans require more drastic operations such as double digging ; in established gardens [Agent you]may prefer to [Target delay][Event the upheaval][Destination_event until each area affected is due for renewal and replanting].
Change_event_time,"[Agent Huy]had [Target delayed][Event telling Merymose about Surere], waiting for the right moment to come . "
Change_event_time,But [Event the experiment]was [Target delayed][Interval a day][Explanation because of the strike].
Change_event_time,"[Cause The incident][Target delayed][Event the Wardair Airbus on its flight to Toronto][Interval by three hours 11 minutes]and she asked for compensation of more than £1,500 . "
Change_event_time,"Friends of the Earth urged [Agent the government]to [Target delay][Event any decision on Thorp][Destination_event until after the advisory committee completes its review of radioactive waste disposal for the next 20 years], which is expected next year . "
Change_event_time,"[Agent Security forces][Target delayed][Interval 50 hours][Event before searching the region], allowing the murderers to escape the net . "
Change_event_time,"Similarly , [Cause stock shortages][Target delay][Event deliveries , hold up contracts , lose customers and cause money problems]. "
Change_event_time,That 's why [Agent I][Target delayed][Event coming home].
Change_event_time,"In Zambia , [Cause such procedures]have [Target delayed][Event the purchase of essential new equipment]. "
Change_event_time,"[Cause Concealing the body]might have [Target delayed][Event the scheme], but not aborted it . "
Change_event_time,“ [Agent I]'m going to [Target delay][Event them]. ”
Change_event_time,[Agent I]have been [Target delaying][Event you].
Change_event_time,Who will pay compensation if [Event one operators ' trains]are [Target delayed][Cause by a breakdown of a train by another operator]?
Change_event_time,Traffic disruption and a shortage of change at the turnstiles saw [Event the kick-off][Target delayed][Interval by 15 minutes].
Change_event_time,"[Cause Further studies]were [Target delaying][Interval by two years][Event measures to save Lake Ichkeul in Tunisia], which was in danger of being reduced to a salty lagoon after the damming in the 1970s of the six rivers feeding it . "
Change_event_time,"The Coronations were launched by an ever-publicity-conscious Luff , shortly before [Event his retirement], [Event which][Agent he][Target delayed][Destination_time until 1954]. "
Change_event_time,"` Saturday 's situation appears to have been caused because [Agent people][Target delayed][Event before going out into the rain]. "" "
Change_event_time,"Maybe if [Agent he]could [Target delay][Interval a little longer], Springfield would discover his sweep had failed to capture the ringleader and send men in to flush him out . "
Change_event_time,"Some fear that if [Agent Mr Mieno][Target delays][Interval much longer], he risks overkill . "
Change_event_time,"Consequently , he wants [Agent the Government]to [Target delay][Interval no longer], but to begin to devolve real responsibility to the people of Northern Ireland . "
Change_event_time,He sent an army under Counts Hugh and Matfrid to help Bernard ; but [Agent the two commanders][Target delayed][Interval so long]en route [Interval that Muslim troops were able to ravage the county of Barcelona].
Change_event_time,"But she discovered [Agent she]had [Target delayed][Interval too long], for as she reached the hall , there before her , and as cool as you like , was Naylor . "
Change_event_time,[Cause US concerns about Iranian nuclear ambitions]are currently [Target delaying][Event the granting of IAEA fellowships to Iranian nationals].
Change_event_time,"The United States was dissatisfied with the postponement of safeguards inspections to verify Pyongyang 's past activities , and North Korea was dissatisfied with the [Target delayed][Event construction of the light water power reactors]."
Change_event_time,"Republican Senator John Cornyn , who leads the India Caucus in the US Senate along with Democratic Senator Hillary Clinton , Friday took the floor to answer [Agent Byron Dorgan , a critic of the deal][Agent who]has vowed to do all to [Target delay]if not stop [Event it]."
Change_event_time,Britain doubted whether [Agent the UN]could do more than to [Target postpone][Event the day when Soviet domination over Korea was established].
Change_event_time,"[Cause Permitting new supplies], as is suggested in paragraph 55 of draft MPG6 , only [Target postpones][Event the day when such a prospect has to be faced]. "
Change_event_time,"[Agent The Rolling Stones , George Harrison , Bob Dylan and Rod Stewart]are still strutting and fretting away , [Target postponing][Event the time when they are heard no more]. "
Change_event_time,It is impossible to [Target postpone][Event childbearing]indefinitely without children being cancelled altogether .
Change_event_time,"[Agent He][Target postponed][Event implementing a scheme]until more groups , including industry and business , were consulted . "
Change_event_time,[Agent The judge][Target postponed][Event sentencing][Destination_event for pyschiatric reports]but warned the normal punishment for attempted robbery was at least 7 years in prison .
Change_event_time,"[Agent The Mexican government]has [Target postponed][Event plans to construct a hydro-electric dam on the Rio Usumancinta , near the border with Guatemala]. "
Change_event_time,There was also concern among US officials that the funding would encourage [Agent Israel]to continue to [Target postpone][Event steps to liberalize the economy].
Change_event_time,"With an election looming on June 6th , [Agent the Socialist government]had every reason to [Target postpone][Event the embarrassment of a third successive devaluation]. "
Change_event_time,"[Agent The banks]also agreed to [Target postpone][Event amortization payments due between 1991 and 1994], a measure calculated to save Chile approximately $1,800 million annually over the following four years . "
Change_event_time,"[Agent Television]had [Target postponed][Event Manchester United 's scheduled visit to Anfield]so it could be shown live on 22 December , the longest night . "
Change_event_time,"It does not seem , in general , valuable to [Target postpone][Event death][Interval by a few hours]at enormous cost . "
Change_event_time,"As things are , I 'd like [Agent you]to [Target postpone][Event your leave][Interval for a bit]. "" "
Change_event_time,[Agent The mother][Target postponed][Event her second marriage][Interval for six months]to give time to sort out the new relationships .
Change_event_time,"When [Agent the Soviet parliament]invoked emergency laws to [Target postpone][Event the strike][Interval for two months], the union refused to call it off -- in effect , daring the government to end it by force . "
Change_event_time,"[Agent Tripoli][Target postponed][Event the elections][Destination_time until February]; Ajdabiyans confidently expected them on 1 February , and after that day the chairman of the local Assembly telephoned Tripoli each afternoon to ask if he should hold the poll . "
Change_event_time,The Law Society has urged [Agent the Government]to [Target postpone][Event the changes in civil legal aid][Interval for one year]because it believes the rise in spending on it is a temporary blip .
Change_event_time,"He plans to go ahead with [Event his wedding], [Event which]was [Target postponed]last Wednesday , on his return to Sarajevo . "
Change_event_time,"Originally scheduled for late May , [Event the conference]was [Target postponed][Agent by the government][Destination_time to July 15]. "
Change_event_time,"However , [Event the trial]has been [Target postponed][Interval indefinitely]. "
Change_event_time,[Event The presentation of the 1991/92 budget]had been [Target postponed][Landmark_time from February 1991]under Congress ( I ) pressure because of the approaching general election [ see p. 38006 ] .
Change_event_time,[Event The freeing of oil prices]was [Target postponed][Destination_time until June][Landmark_time from the target date of April 1].
Change_event_time,The danger is that [Agent prospective purchasers]will [Target postpone][Event spending money][Destination_event until they have finished upgrading to Windows].
Change_event_time,"[Agent John Scott Morgan], author and a member of the Society , had to [Target postpone][Event the talk originally arranged for October 1992]. "
Change_event_time,"[Event The visit], [Target postponed][Landmark_time from September], included an address by Yeltsin to the South Korean National Assembly on Nov. 19 . "
Change_event_time,"[Agent The Presidents of Russia and Lithuania][Target postponed][Destination_time until October][Event the actual signature of a treaty on troop withdrawal], due to "" technical "" difficulties . "
Change_event_time,"His wife Val contributes a postscript in which she reveals , rather wanly , that she is still looking forward to her [Event honeymoon], [Target postponed]because of a rugby match . "
Change_event_time,"We can stay much as we are , in the same old muddle , with [Event difficult decisions][Target postponed]. "
Change_event_time,"[Agent You]avoid , [Target postpone], or hide [Event the conflict that you fear]. "
Change_event_time,"Specifically , [Agent Iran]was rebuked for [Target postponing][Event IAEA visits to a number of locations related to Iran 's P - 2 centrifuge enrichment program , which had been scheduled to take place in March 2004]."
Change_event_time,I was to see that the doors were open and the signal of a green or white light in a window which faced the drive was to give notice if all was safe or if [Event the attempt]had better be [Target postponed].
Change_event_time,"These goods are also expensive , so [Agent people][Target defer][Event buying them]when they are hard-up . "
Change_event_time,"Sandford , however , urged [Agent us]to [Target defer][Event going down there][Interval for at least two months]: the rains had only recently ended and after the rains a virulent type of malaria was prevalent in the Awash valley . "
Change_event_time,Eventually [Agent the committee]agreed to [Target defer][Event a decision to see if the school could team up with neighbouring villages to boost numbers].
Change_event_time,He said opponents hoped [Agent the council]would either reverse or [Target defer][Event their decision to close Hustledown House].
Change_event_time,[Agent Barnett]wanted to [Target defer][Event the building of a new British Library next to St Pancras Station].
Change_event_time,[Agent The Court of Appeal][Target deferred][Event the possession order][Interval for three months].
Change_event_time,"After a series of discussions , [Agent LASMO North Sea and its partners]have decided to [Target defer][Event the development of the Columba field]. "
Change_event_time,In return for the council taking proceedings against the company [Agent the residents][Target deferred][Event their own legal action]and allowed the dump to re-open .
Change_event_time,"Well , [Agent we][Target deferred][Event many difficult decisions], and this was just one of them . "" "
Change_event_time,[Agent The planning committee]decided on Monday evening to [Target defer][Event its decision about the application][Destination_event until after that meeting].
Change_event_time,"Within each there are many honours degree specialisations , and , although courses become progressively more specialised , [Agent students][Target defer][Event a final choice about their ultimate subject of study][Destination_event until the end of their third year]. "
Change_event_time,"Scheherezade begins the long series of tales that constitute The Arabian Nights , so successfully stimulating the King 's curiosity to hear more that [Agent he]constantly [Target defers][Event the order for her execution]. "
Change_event_time,In the end [Agent we]compromised and [Target deferred][Event the issue][Destination_event for later discussion between us].
Change_event_time,[Agent Judge William Hannah][Target deferred][Event sentence][Interval for six months].
Change_event_time,"For these reasons , [Agent the Council]has decided to [Target defer][Event the matter][Interval for three years]. "
Change_event_time,"[Agent The committee][Target deferred][Event a decision on the application], and the matter will be further considered at a later date . "
Change_event_time,[Agent John]could see some trivial improvements but [Target deferred][Event any mention of them].
Change_event_time,[Event Further investigation of the complaint]was [Target deferred][Destination_event until the outcome of the criminal proceedings against the two young men].
Change_event_time,[Event Changes]will be [Target deferred]if there is insufficient information available to make a decision .
Change_event_time,[Event The item]was [Target deferred][Destination_event until the full council meets on November 26].
Change_event_time,It is more important for [Agent them]to [Target defer][Event their childbearing]and to compress it into a short space of time in their married life .
Change_event_time,"Traditionally it had been [Agent the poor][Agent who]had [Target deferred][Event marriage][Destination_event until they could become independent]in an economy of the margins , but the early impact of industrialisation appears to have broken the pattern . "
Change_event_time,"But , in all cases [Agent we][Target defer][Event repayment][Destination_event until you complete the course], and then agree a repayment programme that is based on your earnings . "
Change_event_time,For this reason it was felt in Washington that the occupation had to be extended and [Event a peace treaty][Target deferred].
Change_event_time,"[Agent Skilled ringers]use their wrists to [Target advance]or retard [Event the next swing], so that one bell can swap places with another in the following change ."
Change_event_time,"The nuclear agency had hoped to monitor the larger centrifuge cascade with cameras , but [Agent Iranian officials]were `` not allowing the IAEA to install the cameras inside the cascade halls in Natanz and are causing further [Target delays][Event in the inspectors ' activity], '' a diplomat who closely monitors the agency said yesterday ."
Change_event_time,People catching buses were advised to expect long [Interval [Target] delays].
Change_event_time,In addition to the basic schedule of topics which was covered with everyone [Agent I]developed special questions and [Target rescheduled][Event parts of interviews][Purpose to fit the immediate circumstances of the person being interviewed].
Change_event_time,"There is , however , a possibility that [Event the peace concert , which was to have taken place this Saturday , May 29 , in the King 's Hall], may be [Target rescheduled][Destination_time for the autumn]."
Change_event_time,"If [Agent the school]refused to [Target reschedule][Event the trip], would this amount to unlawful indirect discrimination , or would the school 's decision have been ` justifiable '' ?"
Change_event_time,[Agent THE HOUSE OF LOVE]have [Target rescheduled][Event their one-off London date originally postponed from September]and plan to give away a limited-edition single featuring a previously unreleased ten-minute track at the show .
Change_event_time,` No sooner had everyone recovered from the trauma of having to [Target reschedule][Event the full-length play festival]than we heard about Portadown .
Change_event_time,"` There 's a lot of zander throughout the canal and I think we 'll be leaving it until next season before [Agent we][Target reschedule][Event the match], '' he said ."
Change_event_time,"` But it 's been a complicated situation ; [Agent we]'ve had to cancel or [Target reschedule][Event gigs with Cozy 's band][Explanation because of Brian 's thing], and there was a further complication &hellip;"
Change_event_time,"[Agent SHONEN KNIFE]have been forced to postpone their UK dates due to touring commitments in their native Japan , but have managed to [Target reschedule][Event one gig][Place at London 's Clapham Grand][Destination_time on September 3]."
Relative_time,"We have talked about [Target antecedent][Focal_occasion events , behaviour , and consequences]as applied to eating behaviour and dieting . "
Relative_time,"He tends to mention [Target antecedent][Focal_occasion events]after subsequent ones , and causes after effects . "
Relative_time,"In addition , it can be exercised where , during [Target antecedent][Focal_occasion negotiations], there were oral representations made irrespective of whether they were concluded on or off business premises ( s67 ) . "
Relative_time,"The second [Target antecedent][Focal_occasion event], quarrelling with another person , often follows closely on a feeling of disappointment and personal failure . "
Relative_time,"Only as attending proceeds , however , does it become possible to describe the immediately [Target antecedent][Focal_occasion experience]of a conscious episode . "
Relative_time,"However , Poulantzas would presumably argue that in any given case the course of events is determined by [Target antecedent][Focal_occasion factors]. "
Relative_time,"But we do not know how to account for these characteristics as the results of [Target antecedent][Focal_occasion social factors], and , indeed , have very little idea what circumstances , if any , produce military genius or obstinacy . "
Relative_time,"In its most basic sense , determinism is only committed to the view that behaviour is the outcome of [Target antecedent][Focal_occasion causes]. "
Relative_time,For one thing he certainly over-states it when he says that pleasure always comes from satisfaction of an [Target antecedent][Focal_occasion desire for something other than pleasure].
Relative_time,"The State recognises the Family as the natural primary and fundamental unit group of Society and as a moral institution possessing [Focal_occasion x, [Target antecedent]and superior [Landmark_occasion to all positive law]…"
Relative_time,"The whole doctrine is based on the recognition of the regularity and uniformity pervading the created universe , and on the assumption that man has [Focal_occasion an innate sense of beauty][Target antecedent][Landmark_occasion to custom or education]. "
Relative_time,"If ordinary children build their linguistic abilities on [Target antecedent][Focal_occasion social and cognitive abilities], these may , in fact , be necessary prerequisites for the emergence of language . "
Relative_time,"I edged around the puddles in the garden , where [Target belated][Focal_occasion rain]fell from the yew trees , and returned to my Bed and Breakfast house for a soothing sleep . "
Relative_time,Since employees often complain about receiving [Target belated][Focal_occasion information]particular management attention should be given to correct timing .
Relative_time,"After my [Target belated][Focal_occasion conversion from the outworn pieties of my youth]what I wanted from Karen was a crash course in greed , voracity , cheap thrills and superficial emotion . "
Relative_time,"However , on his [Target belated][Focal_occasion homecomings], he indirectly reassured her that the needed person did return m- the end . "
Relative_time,That [Target belated][Focal_occasion discovery]caused Sun to cancel the intended roll-out of the expected 514 ( UX No 432 ) .
Relative_time,"The reduction in the ARC 's subsidy is a [Target belated][Focal_occasion acknowledgement that agricultural research is overfunded]( see Nature 362 , 386 ; 1993 ) . "
Relative_time,The marquis made one [Target belated][Focal_occasion attempt to warn her].
Relative_time,"` Hence the ` [Target belated][Focal_occasion honeymoon]"" he talked about , "" said Julia . "
Relative_time,"The Revolution certainly marked a [Target belated][Focal_occasion victory for the policy of Exclusion], and finally established the legislative sovereignty of Parliament . "
Relative_time,The couple have spent the past six months buying furniture for their rooms within the Godfrey Ermen Home and are considering a [Target belated][Focal_occasion honeymoon].
Relative_time,Etosha has long been well regarded by her trainer and her [Target belated][Focal_occasion debut in the John Holdrish Maiden Fillies Stakes]was explained by a long-held aversion to starting stalls .
Relative_time,The breakthrough was inspired by [Target belated][Focal_occasion realisation on the part of Pretoria and the ANC that unless they made rapid progress]what is left of the South African economy would be wrecked .
Relative_time,"Dates and September and October had proved to be difficult and beyond that , it would be a very [Target belated][Focal_occasion welcome]. "
Relative_time,"Although [Target belated], [Focal_occasion the gesture]will win Mr Kaifu kudos in Washington , and guarantee a warm welcome for him at the London summit of rich countries ' leaders in July . "
Relative_time,"After such stumbles , Grumman is understandably thrilled by a [Target belated]and unambiguous [Focal_occasion triumph]: the success of JSTARS . "
Relative_time,"Perhaps , in retrospect , I was over-kind in interpreting the offensive ` Bengali In Platforms "" as a [Target belated][Focal_occasion working through of petty teenage bigotry]. "
Relative_time,"A letter to the Japanese ambassador in Washington , signed by all 100 members of the US Senate , had preceded what the US saw as Japan 's [Target belated][Focal_occasion Aug. 5 commitment on sanctions]. "
Relative_time,"We could not doubt that [Focal_occasion justice], if [Target belated], had come at last ."
Relative_time,[Focal_participant I]was [Interval two hours][Degree too][Target early][Landmark_occasion for dinner]and so spent the interval in a cloud of steam with my wet clothes draped around the fire .
Relative_time,"[Focal_participant I]was [Target early][Landmark_occasion for supper]that night and on edge until I heard , ` Nurse Dungarvan to Marcus Ward as special nurse for tonight . "" "
Relative_time,[Focal_participant Müller]was [Interval a little][Target early][Landmark_occasion for the rendezvous].
Relative_time,Eighteen months ago I took [Target early][Focal_occasion retirement].
Relative_time,Snow-making machines will be blowing out foam-based snow to try to create an [Target early][Focal_occasion Yuletide atmosphere]while trying to tempt shoppers into their stores .
Relative_time,"We know that [Degree very][Target early][Focal_occasion exposure to schooling]improves performance in the first grade , but afterward the difference is quickly washed away ."
Relative_time,The [Interval year]- [Target earlier]results have been restated to reflect an accounting change .
Relative_time,The relative numbers of Shehab-1 and Shehab-2 systems could change in favor of the Shehab-2 if Iran undertakes to upgrade the [Target earlier][Focal_participant systems]to Shehab-2 configuration .
Relative_time,This attack was in response to [Focal_occasion a major air attack on an oil refinery in Tehran][Interval two days][Target earlier].
Relative_time,"[Target Early][Focal_occasion progress]was not steady , and the nuclear program was stalled by the Islamic revolution in 1979 , then the eight - year war with Iraq through most of the 1980s ."
Relative_time,"The [Target earliest][Focal_participant name associated with the city], Ur usalim , perhaps meant `` city of Shalim '' or `` founded by Shalim . ''"
Relative_time,"[Focal_occasion The basic elements of life in the Aegean began to come together][Degree as][Target early][Degree as 5000 b.c.], and were already in place by the late Bronze Age ( c. 2700 b.c. ) ."
Relative_time,"You will find original examples in the archaeological museums throughout the Cyclades , although one of the [Target earliest][Focal_participant examples]is in the museum on Paros ."
Relative_time,And when would be the [Target earliest]that we would make the payment ?
Relative_time,[Target Early][Focal_occasion Habitation]
Relative_time,We had been begging the authorities since [Focal_occasion [Targe]t early][Landmark_occasion in the morning]to send forces [ ... ] It is too late now .
Relative_time,[Focal_occasion The decision][Target followed][Landmark_occasion the freeing of a man who killed his mother-in-law].
Relative_time,[Focal_occasion The deep recession][Focal_occasion that][Target followed]shows how painful true perestroika can be .
Relative_time,[Focal_occasion A very basic synopsis of the play][Target follows]in order to contextualise the analysis .
Relative_time,[Focal_occasion A whole series of measures][Target followed]promoting the position of radicals -- and the Communists -- at the expense of the moderates .
Relative_time,"He urged them to back the Brady plan , pointing to [Focal_occasion the socio-political unrest][Focal_occasion that]might [Target follow][Landmark_occasion the failure to provide economic support for strategically important developing countries]. "
Relative_time,"[Focal_occasion The appeal][Target followed][Landmark_occasion a meeting to discuss the case of 11-year-old Gemma left alone in a flat in Hammersmith , west London]. "
Relative_time,The Pact would provide for [Focal_occasion the withdrawal of Soviet forces][Target following][Landmark_occasion the formation of a coalition government in Kabul].
Relative_time,[Landmark_occasion This]was [Target followed]last week [Focal_occasion by a second letter giving more precise details of the make-up of the allocation].
Relative_time,[Focal_occasion The finding][Target follows][Landmark_occasion a study by Her Majesty 's Inspectorate of reading among children aged five to 14 made just before the introduction of the national curriculum last September].
Relative_time,"This was the beginning of a great revival ; [Focal_occasion it][Target followed][Landmark_occasion decades during which the legal position of jews had , on the whole , steadily improved]. "
Relative_time,[Landmark_occasion This controversy]was [Interval immediately][Target followed][Focal_occasion by another].
Relative_time,"[Landmark_occasion The hiss]was [Target followed][Focal_occasion by a roar]as a sudden burst of wind hit them , hurling Seawitch forward like a blow from a giant fist . "
Relative_time,[Focal_occasion The relative stability in the north][Focal_occasion that][Target followed][Landmark_occasion Barbarossa 's defeat]set the stage for the next step in the rise of the city states .
Relative_time,They started with a Blessing then [Landmark_occasion Tea][Target followed][Focal_occasion by the chairman 's remarks].
Relative_time,The panic of the night before was nothing compared to [Focal_occasion the tragic and bizarre pandemonium][Focal_occasion that]was to [Target follow]during the ensuing day .
Relative_time,TI 's Sparc marketing manager Phil Campbell said the first few lots of the reconstructed chip will be coming off the line in December with [Focal_occasion volumes][Target following]sometime during the first quarter .
Relative_time,[Focal_occasion Spikes of succulent red berries][Target follow]in the autumn .
Relative_time,"The Treasury now expects [Landmark_occasion a fall of 1% in non-oil GDP in 1992], [Target followed][Focal_occasion by growth of 1% in 1993]: the average GDP growth in 1993 forecast by independents is 1 1 / 2 % ."
Relative_time,"In [Focal_participant the torrent of replies][Focal_participant that][Target followed], one woman ringer from Solihull observed that `` the average male ringer leaves quite a lot to be desired : badly dressed , decorated with acne and a large beer-belly , frequently unwashed and unbearably flatulent in peals ."
Relative_time,"On 19 December 2003 , [Focal_occasion Libyan leader Col. Muammar Qadhafi publicly confirmed his commitment to disclose and dismantle WMD programs in his country][Target following][Landmark_occasion a nine-month period of negotiations with US and UK authorities]. "
Relative_time,"In [Focal_occasion the five years that][Target followed], Iran concluded several contracts for the construction of nuclear plants and the supply of nuclear fuel : with the United States in 1974 ; Germany in 1976 ; and France in 1977 ."
Relative_time,"Within four months of the end of the second War of the Cities , and [Target following][Landmark_occasion a continuing string of Iraqi victories ( most notably on the Fao Peninsula )], [Focal_occasion Iran sued for peace]."
Relative_time,[Landmark_occasion This]was [Target followed][Interval two days later][Focal_occasion by an early morning attack on the Iraqi capital of Baghdad].
Relative_time,"[Focal_occasion The NPT withdrawal][Interval swiftly][Target followed][Landmark_occasion a December 2002 announcement that North Korea was lifting the freeze on its nuclear program , in response to the U.S. decision to suspend heavy fuel oil ( HFO ) shipments under the Agreed Framework]."
Relative_time,[Focal_occasion Taiwan 's nuclear weapons program was established under the direction of the Institute of Nuclear Energy Research ( INER ) and the Chungshan Institute of Science and Technology][Target following][Landmark_occasion the People's Republic of China 's first nuclear test in October 1964].
Relative_time,"[Focal_occasion It][Target follows][Landmark_occasion growing concern among members of Britain 's intelligence and security hierarchy that if a CBRN attack took place in the City of London it would devastate Britain 's economy and severely damage the economies of Europe and America]. ( Telegraph .co.uk , 25Jun06 , Sean Rayment ) ( Link )"
Relative_time,"[Landmark_occasion He]was [Target followed][Interval in 336 b.c.][Focal_occasion by his son Alexander the Great], one of the most remarkable leaders in history ."
Relative_time,"[Focal_occasion The El Rancho Vegas ( 1941 ) was the first], [Target followed][Landmark_occasion by the Last Frontier]( 1943 ) ."
Relative_time,In extreme cases these rites take the form of [Landmark_occasion human sacrifices][Target followed][Focal_occasion by cannibalism .]
Relative_time,"Not all of the recipients of honours were backbenchers , and over the [Target following][Focal_occasion years]journalists , industrialists and bankers sympathetic to the cause were handed decorations of one kind or another . "
Relative_time,And in the [Target following][Focal_occasion production period]the maintenance of an increased volume of consumer goods will require the maintenance of an adequate level of v ; : but v is not surplus-value .
Relative_time,"I asked the couple , during the [Target following][Focal_occasion week], to write down separately what each would expect of marriage . "
Relative_time,"In 1923 , Labour won all four seats in West Ham , but lost Upton the [Target following][Focal_occasion year]as Labour members in outer London fell from fifteen to seven . "
Relative_time,"Brian had chosen Bath as a place to which he would take Celia the [Target following][Focal_occasion weekend], partly because it was not too far away and partly because he remembered how happy they had been there before . "
Relative_time,"On the [Target following][Focal_occasion day]doctors and medical personnel announced an indefinite strike , which was promptly declared illegal . "
Relative_time,One worker recalls the [Target following][Focal_occasion episode].
Relative_time,The [Target following][Focal_occasion February]the Church agreed and allocated £250 ; an organ was dedicated on 29 May 1895 .
Relative_time,"For a purely parochial event , it must have been quite an occasion because I believe that it ran from Wednesday , through to the [Target following][Focal_occasion Saturday]. "
Relative_time,This tactic was repeated on the [Target following][Focal_occasion Monday and Tuesday]and a delegation sent to meet the Mayor .
Relative_time,So we arranged to travel to Devonshire on the [Target following][Focal_occasion Saturday].
