frame,english,gemini_swedish
Change_event_time,Do not [Target delay][Event requesting veterinary attention for any young foal which is not sucking and has diarrhoea].,Undvik att [Target fördröja] [Event att söka veterinärvård för något ungt föl som inte diar och har diarré].
Change_event_time,"[Agent I][Target delayed][Event switching the computer off]while I racked my brain trying to think of some way of saving them , but there was none . ","[Agent jag][Target dröjde][Event att stänga av datorn] medan jag slet mitt hår för att komma på något sätt att rädda dem, men det fanns inget."
Change_event_time,"At their meeting in either 1749 or 1750 , Christopher Smart accepted this task from Richardson ; however , [Agent he][Target delayed][Event writing the piece which was to be printed in the volume]. ","Vid deras möte antingen 1749 eller 1750, accepterade Christopher Smart denna uppgift från Richardson; dock, [Agent han][Target fördröjde][Event att skriva stycket som skulle tryckas i volymen]."
Change_event_time,"[Agent She]rattled on breathlessly , perhaps encouraged , Dexter thought , by a desire to [Target delay][Event Blanche coming to the point of the meeting]. ","[Agent Hon]rabblade på andlöst, kanske uppmuntrad, tänkte Dexter, av en önskan att [Target fördröja][Event att Blanche kom till saken]."
Change_event_time,[Agent Corporate lawyers]managed to [Target delay][Event the case coming to court][Interval for two years]and then they prolonged the proceedings for a further two years .,[Agent Företagsjuristerna] lyckades [Target fördröja] [Event att fallet kom upp i rätten] [Interval med två år] och sedan förlängde de processen med ytterligare två år.
Change_event_time,[Cause The crisis over aid to eastern Bosnia]has [Target delayed][Event the peace negotiations taking place at the United Nations].,[Cause Krisen kring biståndet till östra Bosnien]har [Target försenat][Event fredsförhandlingarna som äger rum i Förenta nationerna].
Change_event_time,[Agent A HOME OFFICE minister]yesterday intervened at the last minute to [Target delay][Event a Kurdish refugee being flown back to Turkey].,"ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
Change_event_time,So [Agent he]was [Target delaying][Event beginning to play].,Så [Agent han][Target fördröjde][Event att börja spela].
Change_event_time,But the government front bench denied opposition claims that [Agent they]'d [Manner deliberately][Target delayed][Event the decision]to boost Tory support on the eve of the Party Conference .,Men regeringsbänken förnekade oppositionens påståenden att [Agent de hade] [Manner avsiktligt] [Target försenat] [Event beslutet] för att stärka Tory-stödet inför partikonferensen.
Change_event_time,"Consequently , [Agent field social workers][Target delayed][Event the decision to admit young people to care], and , subsequently , were forced to do so when events had overtaken them . ",ERROR: 'NoneType' object has no attribute 'strip'
Change_event_time,[Agent Glaxo]has since [Target delayed][Event the launch][Destination_event to await product approvals]but it 's a massive project and will take out rigid packaging business forward very quickly when it comes on stream -- probably late this year .,[Agent Glaxo] har sedan [Target försenat][Event lanseringen][Destination_event i avvaktan på produktgodkännanden] men det är ett massivt projekt och kommer att föra vår verksamhet med styva förpackningar framåt mycket snabbt när det tas i drift -- förmodligen sent i år.
Change_event_time,Race officials claim [Event the start of the run]had been [Target delayed][Interval 20 minutes][Explanation to avoid the train]but the race was running 10 minutes ahead of schedule .,Tävlingsfunktionärer hävdar att [Event löpstarten]hade blivit [Target försenad][Interval 20 minuter][Explanation för att undvika tåget]men loppet låg 10 minuter före tidsschemat.
Change_event_time,"[Cause The new discovery , of weakness in welded joints], may [Target delay][Event plans to reopen the plant 's two reactors]. ","[Cause Den nya upptäckten, av svaghet i svetsade fogar], kan [Target fördröja][Event planerna att återöppna anläggningens två reaktorer]."
Change_event_time,[Agent SALVAGE specialists]were forced yesterday to [Target delay][Event plans to refloat the Danish cargo ship aground on an island in the Pentland Firth].,[Agent Bärgningsspecialister]tvingades igår att [Target fördröja][Event planerna att bärga det danska lastfartyget som gått på grund på en ö i Pentland Firth].
Change_event_time,"Researchers at NASA claim that even if the sulphur effect does exist , [Cause it]could at most only [Target delay][Event the greenhouse effect][Destination_event until fossil fuels run out]. ","Forskare vid NASA hävdar att även om svaveleffekten existerar, [Cause den] skulle som mest bara kunna [Target försena] [Event växthuseffekten] [Destination_event tills fossila bränslen tar slut]."
Change_event_time,"[Agent They]were , however , encouraged to [Target delay][Event their accident estimate][Destination_event until they had thought specifically about how busy the junction would normally be and how it might appear in other conditions]. ",[Agent De] uppmuntrades dock att [Target skjuta upp][Event sin olycksuppskattning][Destination_event tills de specifikt hade tänkt på hur trafikerad korsningen normalt skulle vara och hur den kunde framstå under andra förhållanden].
Change_event_time,SOUTH AFRICA 'S National Party government and the African National Congress agreed yesterday on [Cause a course][Cause that]could [Target delay][Event majority black government][Destination_time until the end of the century].,Sydafrikas Nationalistpartiets regering och Afrikanska nationalkongressen kom igår överens om [Cause en kurs][Cause som]skulle kunna [Target fördröja][Event en regering med svart majoritet][Destination_time fram till slutet av århundradet].
Change_event_time,[Cause The problem]has [Target delayed][Event the second phase][Interval by 18 months].,[Cause Problemet] har [Target försenat] [Event den andra fasen] [Interval med 18 månader].
Change_event_time,Hurworth dentist Simon Allum said : ` Despite [Agent the Government][Target delaying][Event the decision][Interval by a month]we still have not been answered .,Hurworth tandläkare Simon Allum sade : ` Trots att [Agent regeringen] [Target sköt upp] [Event beslutet] [Interval med en månad] har vi fortfarande inte fått svar .
Change_event_time,The first one was to the house in Colchester to ask if they 'd mind if [Agent I][Target delayed][Event my arrival][Interval by one more day].,Den första var till huset i Colchester för att fråga om de skulle ha något emot om [Agent jag][Target försenade][Event min ankomst][Interval med ytterligare en dag].
Change_event_time,"[Agent He][Target delayed][Event the trip][Interval by two days], arrived in London on 8 June , and went into a series of meetings with the Commons committee , Sir Geoffrey , Mrs Thatcher and the Press . ","[Agent Han][Target försenade][Event resan][Interval med två dagar], anlände till London den 8 juni, och inledde en serie möten med Underhuskommittén, Sir Geoffrey, fru Thatcher och pressen."
Change_event_time,For the first time in their history [Agent the Tuareg -- the largest tribe of Nomads in the Sahara Desert]-- recently [Target delayed][Event their annual migration][Interval for 10 days]so as to catch the final episode of Dallas,För första gången i deras historia [Agent tuaregerna – den största nomadstammen i Saharaöknen] – nyligen [Target sköt upp][Event sin årliga migration][Interval med 10 dagar] för att se det sista avsnittet av Dallas
Change_event_time,"A commonly held view is that [Agent he][Target delayed][Event withdrawal][Explanation for political reasons], until after the presidential elections of December 1965 . ","En allmänt spridd uppfattning är att [Agent han][Target fördröjde][Event tillbakadragandet][Explanation av politiska skäl], fram till efter presidentvalet i december 1965 ."
Change_event_time,Or maybe that is an apocryphal story and [Agent she]thought about [Target delaying][Event the journey][Interval for twenty-four hours]because she had a hair appointment .,Eller kanske det är en apokryfisk historia och [Agent hon] funderade på [Target att försena][Event resan][Interval med tjugofyra timmar] eftersom hon hade en frisörtid.
Change_event_time,Paul Reichmann asked [Agent me]to [Target delay][Event everything][Interval for two months]and I agreed .,Paul Reichmann bad [Agent mig] att [Target skjuta upp][Event allt][Interval i två månader] och jag gick med på det.
Change_event_time,[Agent Many women]have been [Target delaying][Event births][Interval for years].,[Agent Många kvinnor]har [Target skjutit upp][Event barnafödande][Interval i flera år].
Change_event_time,"It must be sensible to [Target delay][Event breeding][Destination_event until the mare has had a chance to prove herself as a sound , willing ride]. ",Det måste vara förnuftigt att [Target fördröja][Event aveln][Destination_event tills stoet har fått en chans att bevisa sig som en sund och ridvillig häst].
Change_event_time,[Agent We]could have [Target delayed][Event the trial][Destination_event until the tax business was settled].,[Agent Vi] skulle ha [Target skjutit upp][Event rättegången][Destination_event tills skatteärendet var avgjort].
Change_event_time,One bonus of [Target delaying][Event an election][Destination_time until 1992]would be that Mr Major could use a summer reshuffle to continue reshaping the government he inherited from Mrs Thatcher .,En bonus med [Target att skjuta upp][Event ett val][Destination_time fram till 1992] skulle vara att Herr Major skulle kunna använda en sommarombildning för att fortsätta omforma regeringen han ärvde från fru Thatcher.
Change_event_time,The Swedish government announced in mid-January that [Agent it]would [Target delay][Event a promised phase-out of nuclear power][Destination_event until alternative energy sources became viable].,Den svenska regeringen meddelade i mitten av januari att [Agent den] skulle [Target skjuta upp] [Event en utlovad avveckling av kärnkraften] [Destination_event tills alternativa energikällor blev livskraftiga].
Change_event_time,Deeper hard pans require more drastic operations such as double digging ; in established gardens [Agent you]may prefer to [Target delay][Event the upheaval][Destination_event until each area affected is due for renewal and replanting].,Deeper hard pans kräver mer drastiska åtgärder såsom dubbelgrävning; i etablerade trädgårdar [Agent du] kanske föredrar att [Target skjuta upp][Event omvälvningen][Destination_event tills varje drabbat område ska förnyas och omplanteras].
Change_event_time,"[Agent Huy]had [Target delayed][Event telling Merymose about Surere], waiting for the right moment to come . ","[Agent Huy] hade [Target fördröjt][Event att berätta för Merymose om Surere], väntandes på att det rätta ögonblicket skulle komma."
Change_event_time,But [Event the experiment]was [Target delayed][Interval a day][Explanation because of the strike].,Men [Event experimentet] var [Target försenat] [Interval en dag] [Explanation på grund av strejken].
Change_event_time,"[Cause The incident][Target delayed][Event the Wardair Airbus on its flight to Toronto][Interval by three hours 11 minutes]and she asked for compensation of more than £1,500 . ",[Cause Händelsen][Target försenade][Event Wardair-Airbusen på sin flygning till Toronto][Interval med tre timmar elva minuter]och hon begärde ersättning på mer än 1 500 pund.
Change_event_time,"Friends of the Earth urged [Agent the government]to [Target delay][Event any decision on Thorp][Destination_event until after the advisory committee completes its review of radioactive waste disposal for the next 20 years], which is expected next year . ","Jordens Vänner uppmanade [Agent regeringen] att [Target skjuta upp][Event något beslut om Thorp][Destination_event tills efter att den rådgivande kommittén slutför sin granskning av deponering av radioaktivt avfall för de kommande 20 åren], vilket förväntas nästa år."
Change_event_time,"[Agent Security forces][Target delayed][Interval 50 hours][Event before searching the region], allowing the murderers to escape the net . ","[Agent Säkerhetsstyrkor][Target fördröjde][Interval 50 timmar][Event innan man genomsökte regionen], vilket gjorde det möjligt för mördarna att undkomma nätet."
Change_event_time,"Similarly , [Cause stock shortages][Target delay][Event deliveries , hold up contracts , lose customers and cause money problems]. ","På samma sätt, [Cause lagerbrist][Target försenar][Event leveranser, fördröjer kontrakt, leder till kundförluster och orsakar ekonomiska problem]."
Change_event_time,That 's why [Agent I][Target delayed][Event coming home].,Det är därför [Agent jag][Target försenade][Event hemkomsten].
Change_event_time,"In Zambia , [Cause such procedures]have [Target delayed][Event the purchase of essential new equipment]. ","I Zambia, [Cause sådana förfaranden] har [Target försenat][Event inköpet av nödvändig ny utrustning]."
Change_event_time,"[Cause Concealing the body]might have [Target delayed][Event the scheme], but not aborted it . ","[Cause Att dölja kroppen] kan ha [Target försenat][Event planen], men inte avbrutit den."
Change_event_time,“ [Agent I]'m going to [Target delay][Event them]. ”,[Agent Jag] ska [Target fördröja][Event dem].
Change_event_time,[Agent I]have been [Target delaying][Event you].,[Agent Jag]har [Target fördröjt][Event dig].
Change_event_time,Who will pay compensation if [Event one operators ' trains]are [Target delayed][Cause by a breakdown of a train by another operator]?,Vem kommer att betala ersättning om [Event en operatörs tåg] är [Target försenade] [Cause på grund av ett tåghaveri hos en annan operatör]?
Change_event_time,Traffic disruption and a shortage of change at the turnstiles saw [Event the kick-off][Target delayed][Interval by 15 minutes].,Trafikstörningar och brist på växelpengar vid vändkorsen ledde till att [Event avsparken][Target försenades][Interval med 15 minuter].
Change_event_time,"[Cause Further studies]were [Target delaying][Interval by two years][Event measures to save Lake Ichkeul in Tunisia], which was in danger of being reduced to a salty lagoon after the damming in the 1970s of the six rivers feeding it . ","[Cause Ytterligare studier] var [Target fördröjningen][Interval med två år][Event av åtgärder för att rädda sjön Ichkeul i Tunisien], som riskerade att reduceras till en salt lagun efter uppdämningen på 1970-talet av de sex floder som matade den."
Change_event_time,"The Coronations were launched by an ever-publicity-conscious Luff , shortly before [Event his retirement], [Event which][Agent he][Target delayed][Destination_time until 1954]. ","Coronation-serien lanserades av en ständigt publicitetssökande Luff, strax före [Event hans pensionering], [Event vilken][Agent han][Target fördröjde][Destination_time fram till 1954]."
Change_event_time,"` Saturday 's situation appears to have been caused because [Agent people][Target delayed][Event before going out into the rain]. "" ",Lördagens situation verkar ha orsakats eftersom [Agent folk][Target dröjde][Event innan de gick ut i regnet].
Change_event_time,"Maybe if [Agent he]could [Target delay][Interval a little longer], Springfield would discover his sweep had failed to capture the ringleader and send men in to flush him out . ","Kanske om [Agent han] kunde [Target dröja][Interval lite längre], skulle Springfield upptäcka att hans razzia hade misslyckats med att fånga ligaledaren och skicka in män för att driva ut honom."
Change_event_time,"Some fear that if [Agent Mr Mieno][Target delays][Interval much longer], he risks overkill . ","Vissa fruktar att om [Agent Herr Mieno][Target dröjer][Interval mycket längre], riskerar han att skjuta över målet."
Change_event_time,"Consequently , he wants [Agent the Government]to [Target delay][Interval no longer], but to begin to devolve real responsibility to the people of Northern Ireland . ","Följaktligen vill han att [Agent regeringen] [Target fördröjer] [Interval inte längre], utan att börja överlåta verkligt ansvar till folket på Nordirland."
Change_event_time,He sent an army under Counts Hugh and Matfrid to help Bernard ; but [Agent the two commanders][Target delayed][Interval so long]en route [Interval that Muslim troops were able to ravage the county of Barcelona].,Han sände en armé under grevarna Hugo och Matfrid för att hjälpa Bernard; men [Agent de båda befälhavarna][Target dröjde][Interval så länge] på vägen [Interval att muslimska trupper kunde härja grevskapet Barcelona].
Change_event_time,"But she discovered [Agent she]had [Target delayed][Interval too long], for as she reached the hall , there before her , and as cool as you like , was Naylor . ","Men hon upptäckte [Agent hon]hade [Target dröjt][Interval för länge], ty när hon nådde hallen, där framför henne, och så oberörd som man bara kan vara, stod Naylor."
Change_event_time,[Cause US concerns about Iranian nuclear ambitions]are currently [Target delaying][Event the granting of IAEA fellowships to Iranian nationals].,[Cause USA:s oro över iranska kärnvapenambitioner] för närvarande [Target försenar][Event beviljandet av IAEA-stipendier till iranska medborgare].
Change_event_time,"The United States was dissatisfied with the postponement of safeguards inspections to verify Pyongyang 's past activities , and North Korea was dissatisfied with the [Target delayed][Event construction of the light water power reactors].","Förenta staterna var missnöjda med uppskjutandet av säkerhetsinspektioner för att verifiera Pyongyǎngs tidigare aktiviteter, och Nordkorea var missnöjda med det [Target fördröjda][Event byggandet av lättvattenreaktorerna]."
Change_event_time,"Republican Senator John Cornyn , who leads the India Caucus in the US Senate along with Democratic Senator Hillary Clinton , Friday took the floor to answer [Agent Byron Dorgan , a critic of the deal][Agent who]has vowed to do all to [Target delay]if not stop [Event it].","Republikanske senatorn John Cornyn, som leder Indiakommittén i den amerikanska senaten tillsammans med den demokratiska senatorn Hillary Clinton, intog i fredags talarstolen för att svara [Agent Byron Dorgan, en kritiker av avtalet][Agent som] har lovat att göra allt för att [Target fördröja] om inte stoppa [Event det]."
Change_event_time,Britain doubted whether [Agent the UN]could do more than to [Target postpone][Event the day when Soviet domination over Korea was established].,Storbritannien tvivlade på om [Agent FN] kunde göra mer än att [Target skjuta upp][Event dagen då sovjetiskt herravälde över Korea etablerades].
Change_event_time,"[Cause Permitting new supplies], as is suggested in paragraph 55 of draft MPG6 , only [Target postpones][Event the day when such a prospect has to be faced]. ","[Cause Att tillåta nya leveranser], som föreslås i punkt 55 i utkastet till MPG6, endast [Target skjuter upp][Event dagen då en sådan framtidsutsikt måste mötas]."
Change_event_time,"[Agent The Rolling Stones , George Harrison , Bob Dylan and Rod Stewart]are still strutting and fretting away , [Target postponing][Event the time when they are heard no more]. ","[Agent The Rolling Stones, George Harrison, Bob Dylan och Rod Stewart] håller fortfarande låda, [Target och skjuter upp][Event tiden då de inte längre hörs]."
Change_event_time,It is impossible to [Target postpone][Event childbearing]indefinitely without children being cancelled altogether .,Det är omöjligt att [Target skjuta upp][Event barnafödande] i det oändliga utan att barn helt uteblir.
Change_event_time,"[Agent He][Target postponed][Event implementing a scheme]until more groups , including industry and business , were consulted . ","[Agent Han][Target sköt upp][Event att genomföra en plan] tills fler grupper, inklusive industri och näringsliv, hade konsulterats."
Change_event_time,[Agent The judge][Target postponed][Event sentencing][Destination_event for pyschiatric reports]but warned the normal punishment for attempted robbery was at least 7 years in prison .,[Agent Domaren][Target sköt upp][Event domen][Destination_event för att invänta psykiatriska rapporter]men varnade att det normala straffet för försök till rån var minst sju års fängelse.
Change_event_time,"[Agent The Mexican government]has [Target postponed][Event plans to construct a hydro-electric dam on the Rio Usumancinta , near the border with Guatemala]. ","[Agent Den mexikanska regeringen] har [Target skjutit upp][Event planer på att bygga en vattenkraftsdamm vid floden Usumacinta, nära gränsen till Guatemala]."
Change_event_time,There was also concern among US officials that the funding would encourage [Agent Israel]to continue to [Target postpone][Event steps to liberalize the economy].,Det fanns också en oro bland amerikanska tjänstemän att finansieringen skulle uppmuntra [Agent Israel] att fortsätta att [Target skjuta upp] [Event åtgärder för att liberalisera ekonomin].
Change_event_time,"With an election looming on June 6th , [Agent the Socialist government]had every reason to [Target postpone][Event the embarrassment of a third successive devaluation]. ","Med ett val som närmade sig den 6 juni, [Agent den socialistiska regeringen]hade all anledning att [Target skjuta upp][Event förödmjukelsen av en tredje devalvering i rad]."
Change_event_time,"[Agent The banks]also agreed to [Target postpone][Event amortization payments due between 1991 and 1994], a measure calculated to save Chile approximately $1,800 million annually over the following four years . ","[Agent Bankerna] också enades om att [Target uppskjuta][Event amorteringsbetalningar som förföll till betalning mellan 1991 och 1994], en åtgärd beräknad att spara Chile cirka 1 800 miljoner dollar årligen under de följande fyra åren."
Change_event_time,"[Agent Television]had [Target postponed][Event Manchester United 's scheduled visit to Anfield]so it could be shown live on 22 December , the longest night . ","[Agent Televisionen] hade [Target skjutit upp] [Event Manchester Uniteds schemalagda besök till Anfield] så att det kunde visas live den 22 december, den längsta natten."
Change_event_time,"It does not seem , in general , valuable to [Target postpone][Event death][Interval by a few hours]at enormous cost . ","Det verkar inte, generellt sett, värdefullt att [Target fördröja][Event döden][Interval med några timmar]till en enorm kostnad."
Change_event_time,"As things are , I 'd like [Agent you]to [Target postpone][Event your leave][Interval for a bit]. "" ","Som det är nu, skulle jag vilja [Agent dig] att [Target skjuta upp] [Event din ledighet] [Interval en liten stund]."""
Change_event_time,[Agent The mother][Target postponed][Event her second marriage][Interval for six months]to give time to sort out the new relationships .,[Agent Modern][Target sköt upp][Event sitt andra äktenskap][Interval i sex månader] för att ge tid att reda ut de nya relationerna.
Change_event_time,"When [Agent the Soviet parliament]invoked emergency laws to [Target postpone][Event the strike][Interval for two months], the union refused to call it off -- in effect , daring the government to end it by force . ","När [Agent det sovjetiska parlamentet]åberopade undantagslagar för att [Target skjuta upp][Event strejken][Interval i två månader], vägrade fackföreningen att avblåsa den -- och utmanade därmed regeringen att avsluta den med våld."
Change_event_time,"[Agent Tripoli][Target postponed][Event the elections][Destination_time until February]; Ajdabiyans confidently expected them on 1 February , and after that day the chairman of the local Assembly telephoned Tripoli each afternoon to ask if he should hold the poll . ","[Agent Tripoli][Target uppsköt][Event valen][Destination_time till februari]; Ajdabiyerna förväntade sig dem med tillförsikt den 1 februari, och efter den dagen ringde ordföranden för den lokala församlingen till Tripoli varje eftermiddag för att fråga om han skulle hålla omröstningen."
Change_event_time,The Law Society has urged [Agent the Government]to [Target postpone][Event the changes in civil legal aid][Interval for one year]because it believes the rise in spending on it is a temporary blip .,Advokatsamfundet har uppmanat [Agent regeringen] att [Target skjuta upp] [Event ändringarna inom den civila rättshjälpen] [Interval med ett år] eftersom man anser att ökningen av utgifterna för den är en tillfällig uppgång.
Change_event_time,"He plans to go ahead with [Event his wedding], [Event which]was [Target postponed]last Wednesday , on his return to Sarajevo . ","Han planerar att fullfölja [Event sitt bröllop], [Event vilket]var [Target framskjutet]i onsdags, vid sin återkomst till Sarajevo."
Change_event_time,"Originally scheduled for late May , [Event the conference]was [Target postponed][Agent by the government][Destination_time to July 15]. ","Ursprungligen planerad till slutet av maj, [Event konferensen] [Target sköts upp] [Agent av regeringen] [Destination_time till den 15 juli]."
Change_event_time,"However , [Event the trial]has been [Target postponed][Interval indefinitely]. ","Dock, [Event rättegången] har [Target skjutits upp] [Interval på obestämd tid]."
Change_event_time,[Event The presentation of the 1991/92 budget]had been [Target postponed][Landmark_time from February 1991]under Congress ( I ) pressure because of the approaching general election [ see p. 38006 ] .,[Event Presentationen av budgeten för 1991/92] hade blivit [Target uppskjuten][Landmark_time från februari 1991] under tryck från kongressen (I) på grund av det förestående parlamentsvalet [ se s. 38006 ].
Change_event_time,[Event The freeing of oil prices]was [Target postponed][Destination_time until June][Landmark_time from the target date of April 1].,[Event Frisläppandet av oljepriserna] [Target sköts upp] [Destination_time till juni] [Landmark_time från måldatumet den 1 april].
Change_event_time,The danger is that [Agent prospective purchasers]will [Target postpone][Event spending money][Destination_event until they have finished upgrading to Windows].,Faran är att [Agent blivande köpare] kommer att [Target dröja med] [Event att spendera pengar] [Destination_event tills de är klara med uppgraderingen till Windows].
Change_event_time,"[Agent John Scott Morgan], author and a member of the Society , had to [Target postpone][Event the talk originally arranged for October 1992]. ","[Agent John Scott Morgan], författare och medlem i Sällskapet, var tvungen att [Target skjuta upp][Event det föredrag som ursprungligen var planerat till oktober 1992]."
Change_event_time,"[Event The visit], [Target postponed][Landmark_time from September], included an address by Yeltsin to the South Korean National Assembly on Nov. 19 . ","[Event Besöket], [Target uppskjutet][Landmark_time från september], innehöll ett tal av Jeltsin till den sydkoreanska nationalförsamlingen den 19 november."
Change_event_time,"[Agent The Presidents of Russia and Lithuania][Target postponed][Destination_time until October][Event the actual signature of a treaty on troop withdrawal], due to "" technical "" difficulties . ","[Agent Rysslands och Litauens presidenter][Target sköt upp][Destination_time till oktober][Event det faktiska undertecknandet av ett avtal om trupptillbakadragande], på grund av ""tekniska"" svårigheter."
Change_event_time,"His wife Val contributes a postscript in which she reveals , rather wanly , that she is still looking forward to her [Event honeymoon], [Target postponed]because of a rugby match . ","ERROR: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
Change_event_time,"We can stay much as we are , in the same old muddle , with [Event difficult decisions][Target postponed]. ","Vi kan förbli i stort sett som vi är, i samma gamla röra, med [Event svåra beslut][Target uppskjutna]."
Change_event_time,"[Agent You]avoid , [Target postpone], or hide [Event the conflict that you fear]. ","[Agent du]undviker , [Target skjuter upp], eller gömmer [Event konflikten som du fruktar]."
Change_event_time,"Specifically , [Agent Iran]was rebuked for [Target postponing][Event IAEA visits to a number of locations related to Iran 's P - 2 centrifuge enrichment program , which had been scheduled to take place in March 2004].","Närmare bestämt, [Agent Iran]kritiserades för [Target uppskjutandet av][Event IAEA-besök till ett antal platser relaterade till Irans P-2 centrifugberikningsprogram, som hade planerats äga rum i mars 2004]."
Change_event_time,I was to see that the doors were open and the signal of a green or white light in a window which faced the drive was to give notice if all was safe or if [Event the attempt]had better be [Target postponed].,Jag skulle se till att dörrarna var öppna och signalen av ett grönt eller vitt ljus i ett fönster som vette mot uppfarten skulle ge besked om allt var säkert eller om [Event försöket] hellre borde [Target skjutas upp].
Change_event_time,"These goods are also expensive , so [Agent people][Target defer][Event buying them]when they are hard-up . ","Dessa varor är också dyra, så [Agent folk][Target skjuter upp][Event att köpa dem] när de har det knapert."
Change_event_time,"Sandford , however , urged [Agent us]to [Target defer][Event going down there][Interval for at least two months]: the rains had only recently ended and after the rains a virulent type of malaria was prevalent in the Awash valley . ",Sandford uppmanade dock [Agent oss] att [Target uppskjuta] [Event att åka dit ner] [Interval i minst två månader]: regnen hade nyss upphört och efter regnen var en virulent typ av malaria utbredd i Awashdalen.
Change_event_time,Eventually [Agent the committee]agreed to [Target defer][Event a decision to see if the school could team up with neighbouring villages to boost numbers].,Slutligen [Agent kommittén]enades om att [Target bordlägga][Event ett beslut för att se om skolan kunde samarbeta med grannbyar för att öka elevantalet].
Change_event_time,He said opponents hoped [Agent the council]would either reverse or [Target defer][Event their decision to close Hustledown House].,Han sade att motståndare hoppades [Agent kommunfullmäktige] skulle antingen upphäva eller [Target skjuta upp] [Event deras beslut att stänga Hustledown House].
Change_event_time,[Agent Barnett]wanted to [Target defer][Event the building of a new British Library next to St Pancras Station].,[Agent Agent Barnett] ville [Target skjuta upp] [Event byggandet av ett nytt brittiskt bibliotek bredvid St Pancras Station].
Change_event_time,[Agent The Court of Appeal][Target deferred][Event the possession order][Interval for three months].,[Agent Hovrätten][Target sköt upp][Event besittningsbeslutet][Interval i tre månader].
Change_event_time,"After a series of discussions , [Agent LASMO North Sea and its partners]have decided to [Target defer][Event the development of the Columba field]. ","Efter en rad diskussioner, [Agent LASMO Nordsjön och dess partners] har beslutat att [Target skjuta upp] [Event utvecklingen av Columba-fältet]."
Change_event_time,In return for the council taking proceedings against the company [Agent the residents][Target deferred][Event their own legal action]and allowed the dump to re-open .,I utbyte mot att kommunen drev process mot företaget [Agent de boende][Target sköt upp][Event sin egen rättsliga åtgärd] och tillät tippen att öppna igen.
Change_event_time,"Well , [Agent we][Target deferred][Event many difficult decisions], and this was just one of them . "" ","Nå, [Agent vi][Target sköt upp][Event många svåra beslut], och detta var bara ett av dem."
