frame,english,gold standard,chatgpt_translation
Change_event_time,Do not [Target delay][Event requesting veterinary attention for any young foal which is not sucking and has diarrhoea].,[Target Vänta]inte [Event med att begära veterinärhjälp för varje ung föl som inte diar och har diarré].,Gör inte [Target vänta][Event som begär veterinärhjälp för varje ung föl som inte dia och har diarré].
Change_event_time,"[Agent I][Target delayed][Event switching the computer off]while I racked my brain trying to think of some way of saving them , but there was none . ","[Agent Jag][Target dröjde]med att [Event stänga av datorn]medan jag slet mitt hår för att komma på något sätt att rädda dem, men det fanns inget.","[Agent Jag][Target försenad][Event stänga av datorn]medan jag slet mitt hår för att komma på något sätt att rädda dem, men det fanns inget."
Change_event_time,"At their meeting in either 1749 or 1750 , Christopher Smart accepted this task from Richardson ; however , [Agent he][Target delayed][Event writing the piece which was to be printed in the volume]. ","Vid deras möte antingen 1749 eller 1750 , accepterade Christopher Smart denna uppgift från Richardson ; dock , [Target förhalade][Agent han][Event att skriva verket som skulle tryckas i volymen].","Vid deras möte antingen 1749 eller 1750 , Christopher Smart accepterade denna uppgift från Richardson ; dock , [Agent han][Target förhalade][Event att skriva verket som skulle tryckas i volymen]."
Change_event_time,"[Agent She]rattled on breathlessly , perhaps encouraged , Dexter thought , by a desire to [Target delay][Event Blanche coming to the point of the meeting]. ","[Agent Hon]babblade andfått, kanske uppmuntrad, tänkte Dexter, av en önskan att [Target fördröja][Event Blanche med komma till sakfrågan i mötet].","[Agent Hon]babblade andfått, kanske uppmuntrad, tänkte Dexter, av en önskan att [Target dröja][Event Blanche komma till sakfrågan i mötet]."
Change_event_time,[Agent Corporate lawyers]managed to [Target delay][Event the case coming to court][Interval for two years]and then they prolonged the proceedings for a further two years .,[Agent Bolagsjurister] lyckades [Target fördröja]att [Event målet kom till domstol] [Interval i två år] och sedan förlängde de förfarandet med ytterligare två år.,[Agent Bolagsjurister] lyckades [Target fördröja] [Event målet kom till domstol] [Interval i två år] och sedan förlängde de förfarandet med ytterligare två år.
Change_event_time,[Cause The crisis over aid to eastern Bosnia]has [Target delayed][Event the peace negotiations taking place at the United Nations].,[Cause Krisen över bistånd till östra Bosnien]har [Target fördröjt][Event fredsförhandlingarna som äger rum vid Förenta Nationerna].,[Cause Krisen över bistånd till östra Bosnien]har [Target fördröjt][Event fredsförhandlingarna som äger rum vid Förenta Nationerna].
Change_event_time,[Agent A HOME OFFICE minister]yesterday intervened at the last minute to [Target delay][Event a Kurdish refugee being flown back to Turkey].,[Agent En inrikesminister]ingrep igår i sista stund för att [Target fördröja]att [Event en kurdisk flykting flögs tillbaka till Turkiet].,[Agent A HEMMAKONTOR minister]ingrep igår i sista stund för att [Target fördröjning][Event en kurdisk flykting flögs tillbaka till Turkiet].
Change_event_time,So [Agent he]was [Target delaying][Event beginning to play].,Så [Agent han]försökte [Target dröja]med att [Event börja spela].,Så [Agent han]försökte [Target fördröja][Event börja spela].
Change_event_time,But the government front bench denied opposition claims that [Agent they]'d [Manner deliberately][Target delayed][Event the decision]to boost Tory support on the eve of the Party Conference .,Men regeringens främre bänk förnekade oppositionens påståenden att [Agent de] [Manner avsiktligt] [Target dröjt]med [Event beslutet] att öka Tory-stödet inför partikonferensen .,But the government front bench denied opposition claims that [Agent de] [Manner avsiktligt] [Target fördröjde] [Event beslutet] att stärka Tory-stödet inför partikonferensen.
Change_event_time,"Consequently , [Agent field social workers][Target delayed][Event the decision to admit young people to care], and , subsequently , were forced to do so when events had overtaken them . ","Följaktligen , [Agent fältarbetare inom socialtjänsten][Target försenade][Event beslutet att ta in unga i vård], och , därefter , tvingades göra det när händelserna hade hunnit ikapp dem .","Följaktligen , [Agent fältarbetare inom socialtjänsten][Target försenade][Event beslutet att ta in unga i vård], och , därefter , tvingades göra det när händelserna hade hunnit ikapp dem ."
Change_event_time,[Agent Glaxo]has since [Target delayed][Event the launch][Destination_event to await product approvals]but it 's a massive project and will take out rigid packaging business forward very quickly when it comes on stream -- probably late this year .,[Agent Glaxo]har sedan dess [Target försenat][Event lanseringen][Destination_event för att invänta produktgodkännanden]men det är ett gigantiskt projekt och kommer att driva förpackningsverksamheten framåt mycket snabbt när det väl sätts igång – troligen i slutet av detta år.,[Agent Glaxo]har sedan dess [Target försenat][Event lanseringen][Destination_event för att invänta produktgodkännanden]men det är ett gigantiskt projekt och kommer att driva förpackningsverksamheten framåt mycket snabbt när det väl sätts igång – troligen i slutet av detta år.
Change_event_time,Race officials claim [Event the start of the run]had been [Target delayed][Interval 20 minutes][Explanation to avoid the train]but the race was running 10 minutes ahead of schedule .,Tävlingsfunktionärer hävdar att [Händelse starten av loppet] hade blivit [Mål fördröjd][Intervall 20 minuter][Förklaring för att undvika tåget] men loppet gick 10 minuter före tidtabell.,Race officials claim [Event starten på loppet]had been [Target försenad][Interval 20 minuter][Explanation för att undvika tåget]men loppet låg 10 minuter före schemat.
Change_event_time,"[Cause The new discovery , of weakness in welded joints], may [Target delay][Event plans to reopen the plant 's two reactors]. ","[Cause Den nya upptäckten, av svaghet i svetsade fogar], kan [Target fördröja][Event planerna på att öppna anläggningens två reaktorer igen].","[Cause Den nya upptäckten, av svaghet i svetsade fogar], may [Target fördröja][Event planerna på att öppna anläggningens två reaktorer igen]."
Change_event_time,[Agent SALVAGE specialists]were forced yesterday to [Target delay][Event plans to refloat the Danish cargo ship aground on an island in the Pentland Firth].,[Agent bärgningsspecialister] tvingades igår att [Target fördröja][Event planerna på att bärga det danska lastfartyget fast på en ö i Pentland Firth].,[Agent SALVAGE specialister] tvingades igår att [Target fördröja][Event planerna på att bärga det danska lastfartyget fast på en ö i Pentland Firth].
Change_event_time,"Researchers at NASA claim that even if the sulphur effect does exist , [Cause it]could at most only [Target delay][Event the greenhouse effect][Destination_event until fossil fuels run out]. ","Forskare vid NASA hävdar att även om svaveleffekten existerar, skulle [Cause det] högst bara kunna [Target fördröja][Event växthuseffekten][Destination_event tills fossila bränslen tar slut].","Researchers at NASA claim that even if the sulphur effect does exist , [Cause det]could at most only [Target fördröja][Event växthuseffekten][Destination_event tills fossila bränslen tar slut]."
Change_event_time,"[Agent They]were , however , encouraged to [Target delay][Event their accident estimate][Destination_event until they had thought specifically about how busy the junction would normally be and how it might appear in other conditions]. ",[Agent De]uppmuntrades dock att [Target fördröja][Event deras olycksuppskattning][Destination_event tills de hade tänkt särskilt på hur trafikerad korsningen normalt sett skulle vara och hur den kunde se ut i andra förhållanden].,[Agent De]uppmuntrades dock att [Target fördröja][Event deras olycksuppskattning][Destination_event tills de hade tänkt särskilt på hur trafikerad korsningen normalt sett skulle vara och hur den kunde se ut i andra förhållanden].
Change_event_time,SOUTH AFRICA 'S National Party government and the African National Congress agreed yesterday on [Cause a course][Cause that]could [Target delay][Event majority black government][Destination_time until the end of the century].,Sydafrikas Nationalpartiets regering och Afrikanska nationalkongressen kom igår överens om [Cause en kurs][Cause som] kunde [Target fördröja][Event majoritetsregering med svart befolkning][Destination_time fram till slutet av seklet].,Sydafrikas Nationalpartiets regering och Afrikanska nationalkongressen kom igår överens om [Cause en kurs][Cause som] kunde [Target fördröja][Event majoritetsregering med svart befolkning][Destination_time fram till slutet av seklet].
Change_event_time,[Cause The problem]has [Target delayed][Event the second phase][Interval by 18 months].,[Cause Problemet]har [Target försenat][Event den andra fasen][Interval med 18 månader].,[Cause Problemet]har [Target försenats][Event den andra fasen][Interval med 18 månader].
Change_event_time,Hurworth dentist Simon Allum said : ` Despite [Agent the Government][Target delaying][Event the decision][Interval by a month]we still have not been answered .,Hurworth tandläkare Simon Allum sa: `Trots att [Agent regeringen][Target fördröjde][Event beslutet][Interval med en månad] har vi fortfarande inte fått något svar.,Hurworth tandläkare Simon Allum sa: `Trots [Agent regeringen][Target fördröjer][Event beslutet][Interval med en månad] har vi fortfarande inte fått något svar.
Change_event_time,The first one was to the house in Colchester to ask if they 'd mind if [Agent I][Target delayed][Event my arrival][Interval by one more day].,Den första var till huset i Colchester för att fråga om de skulle ha något emot om [Agent jag][Target sköt upp][Event min ankomst][Interval med en dag till].,The first one was to the house in Colchester to ask if they 'd mind if [Agent Jag][Target försenade][Event min ankomst][Interval med en dag till].
Change_event_time,"[Agent He][Target delayed][Event the trip][Interval by two days], arrived in London on 8 June , and went into a series of meetings with the Commons committee , Sir Geoffrey , Mrs Thatcher and the Press . ","[Agent Han][Target sköt upp][Event resan][Interval med två dagar], anlände till London den 8 juni, och gick in i en rad möten med underhuset kommitté, Sir Geoffrey, fru Thatcher och pressen.","[Agent Han][Target försenade][Event resan][Interval med två dagar], anlände till London den 8 juni, och gick in i en rad möten med underhuset kommitté, Sir Geoffrey, fru Thatcher och pressen."
Change_event_time,For the first time in their history [Agent the Tuareg -- the largest tribe of Nomads in the Sahara Desert]-- recently [Target delayed][Event their annual migration][Interval for 10 days]so as to catch the final episode of Dallas,För första gången i deras historia har [Agent tuaregerna -- den största stammen av nomader i Saharaöknen] -- nyligen [Target dröjt]med [Event deras årliga migration][Interval i 10 dagar] för att hinna se det sista avsnittet av Dallas,For the first time in their history [Agent tuaregerna – den största stammen av nomader i Saharaöknen]– nyligen [Target försenad][Event deras årliga migration][Interval i 10 dagar] för att hinna se det sista avsnittet av Dallas
Change_event_time,"A commonly held view is that [Agent he][Target delayed][Event withdrawal][Explanation for political reasons], until after the presidential elections of December 1965 . ","En allmänt hållen uppfattning är att [Agent han][Target fördröjde][Event tillbakadragande][Explanation av politiska skäl], fram till efter presidentvalet i december 1965 .","A commonly held view is that [Agent han][Target fördröjde][Event tillbakadragande][Explanation av politiska skäl], tills efter presidentvalet i december 1965 ."
Change_event_time,Or maybe that is an apocryphal story and [Agent she]thought about [Target delaying][Event the journey][Interval for twenty-four hours]because she had a hair appointment .,Eller kanske är det en apokryfisk berättelse och [Agent hon]tänkte på [Target att skjuta upp][Event resan][Interval i tjugofyra timmar]eftersom hon hade en frisörtid.,Eller kanske är det en apokryfisk berättelse och [Agent hon]tänkte på [Target att skjuta upp][Event resan][Interval i tjugofyra timmar]eftersom hon hade en frisörtid.
Change_event_time,Paul Reichmann asked [Agent me]to [Target delay][Event everything][Interval for two months]and I agreed .,Paul Reichmann bad [Agent mig]att [Target fördröja][Event allt][Interval i två månader]och jag gick med på det.,Paul Reichmann bad [Agent mig]att [Target fördröja][Event allt][Interval i två månader]och jag gick med på det.
Change_event_time,[Agent Many women]have been [Target delaying][Event births][Interval for years].,[Agent Många kvinnor]har [Target skjutit upp][Event födslar][Interval i åratal].,[Agent Många kvinnor]har [Target fördröjt][Event födslar][Interval i åratal].
Change_event_time,"It must be sensible to [Target delay][Event breeding][Destination_event until the mare has had a chance to prove herself as a sound , willing ride]. ","Det måste vara rimligt att [Target skjuta upp][Event avel][Destination_event tills stoet har haft en chans att bevisa sig som en sund, villig ritt].","Det måste vara rimligt att [Target fördröjning][Event avel][Destination_event tills stoet har haft en chans att bevisa sig som en sund, villig ritt]."
Change_event_time,[Agent We]could have [Target delayed][Event the trial][Destination_event until the tax business was settled].,[Agent Vi]kunde ha [Target dröjt]med [Event rättegången][Destination_event tills skatteärendet var avslutat].,[Agent Vi]kunde ha [Target försenat][Event rättegången][Destination_event tills skatteärendet var avslutat].
Change_event_time,One bonus of [Target delaying][Event an election][Destination_time until 1992]would be that Mr Major could use a summer reshuffle to continue reshaping the government he inherited from Mrs Thatcher .,En fördel med [Target att skjuta upp][Event ett val][Destination_time fram till 1992] skulle vara att herr Major kunde använda en sommaromröstning för att fortsätta omforma regeringen han ärvde från fru Thatcher.,One bonus of [Target uppskjuta][Event ett val][Destination_time till 1992] skulle vara att herr Major kunde använda en sommarombildning för att fortsätta omforma regeringen han ärvde från fru Thatcher.
Change_event_time,The Swedish government announced in mid-January that [Agent it]would [Target delay][Event a promised phase-out of nuclear power][Destination_event until alternative energy sources became viable].,Den svenska regeringen meddelade i mitten av januari att [Agent den] skulle [Target senarelägga][Event en utlovad avveckling av kärnkraft][Destination_event tills alternativa energikällor blev livskraftiga].,Den svenska regeringen meddelade i mitten av januari att [Agent den] skulle [Target fördröja][Event en utlovad avveckling av kärnkraft][Destination_event tills alternativa energikällor blev livskraftiga].
Change_event_time,Deeper hard pans require more drastic operations such as double digging ; in established gardens [Agent you]may prefer to [Target delay][Event the upheaval][Destination_event until each area affected is due for renewal and replanting].,"Djupare, hårda bottnar kräver mer drastiska åtgärder såsom dubbelgrävning; i etablerade trädgårdar kan [Agent du]välja att [Target skjuta upp][Event omvälvningen][Destination_event tills det är dags för varje berört område att förnyas och läggas om].",Djupare hårda bottnar kräver mer drastiska åtgärder såsom dubbelgrävning; i etablerade trädgårdar [Agent du]kan du föredra att [Target fördröja][Event omvälvningen][Destination_event tills varje berört område är dags för förnyelse och omläggning].
Change_event_time,"[Agent Huy]had [Target delayed][Event telling Merymose about Surere], waiting for the right moment to come . ","[Agent Huy]hade [Target skjutit upp][Event att berätta för Merymose om Surere], väntade på rätt tillfälle att dyka upp.","[Agent Huy]hade [Target försenad][Event att berätta för Merymose om Surere], väntade på rätt tillfälle att komma."
Change_event_time,But [Event the experiment]was [Target delayed][Interval a day][Explanation because of the strike].,Men [Event experimentet] var [Target försenat][Interval en dag][Explanation på grund av strejken].,Men [Event experimentet] var [Target fördröjd][Interval en dag][Explanation på grund av strejken].
Change_event_time,"[Cause The incident][Target delayed][Event the Wardair Airbus on its flight to Toronto][Interval by three hours 11 minutes]and she asked for compensation of more than £1,500 . ",[Cause Händelsen][Target försenade][Event Wardairs Airbus på sin flygning till Toronto][Interval med tre timmar 11 minuter]och hon begärde ersättning på mer än £1 500.,[Cause Händelsen][Target försenades][Event Wardair Airbusen på sin flygning till Toronto][Interval med tre timmar 11 minuter]och hon begärde ersättning på mer än £1 500.
Change_event_time,"Friends of the Earth urged [Agent the government]to [Target delay][Event any decision on Thorp][Destination_event until after the advisory committee completes its review of radioactive waste disposal for the next 20 years], which is expected next year . ","Vänner av Jorden uppmanade [Agent regeringen] att [Target skjuta upp][Event varje beslut om Thorp][Destination_event till efter att rådgivande kommittén slutfört sin granskning av hantering av radioaktivt avfall för de kommande 20 åren], vilket förväntas nästa år.","Friends of the Earth urged [Agent regeringen]to [Target fördröja][Event något beslut om Thorp][Destination_event tills efter att rådgivande kommittén avslutar sin granskning av radioaktivt avfallshantering för de kommande 20 åren], vilket förväntas nästa år ."
Change_event_time,"[Agent Security forces][Target delayed][Interval 50 hours][Event before searching the region], allowing the murderers to escape the net . ","[Agent Säkerhetsstyrkor][Target dröjde][Interval 50 timmar][Event med en genomsökning av området], vilket gjorde att mördarna kunde smita undan.","[Agent Säkerhetsstyrkor][Target försenade][Interval 50 timmar][Event innan sökning av området], vilket gjorde att mördarna kunde smita undan."
Change_event_time,"Similarly , [Cause stock shortages][Target delay][Event deliveries , hold up contracts , lose customers and cause money problems]. ","På samma sätt, [Target försenar][Cause lagersbristen][Event leveranser, stoppar avtal, tappar kunder och orsakar ekonomiska problem].","På samma sätt, [Orsak lagersbrist][Target försening][Händelse leveranser, stoppa avtal, tappa kunder och orsaka ekonomiska problem]."
Change_event_time,That 's why [Agent I][Target delayed][Event coming home].,Det är därför [Agent jag]är [Target sen]med att [Event komma hem].,Det är därför [Agent jag][Target försenad][Event kommer hem].
Change_event_time,"In Zambia , [Cause such procedures]have [Target delayed][Event the purchase of essential new equipment]. ","I Zambia , har [Cause sådana procedurer][Target fördröjt][Event inköpet av nödvändig ny utrustning].","I Zambia , [Orsak sådana procedurer]har [Target fördröjt][Händelse inköpet av nödvändig ny utrustning]."
Change_event_time,"[Cause Concealing the body]might have [Target delayed][Event the scheme], but not aborted it . ","[Cause Att dölja kroppen] kan ha [Target fördröjt][Event planen], men inte avbrutit den.","[Cause Att dölja kroppen] kan ha [Target fördröjt][Event planen], men inte avbrutit den."
Change_event_time,“ [Agent I]'m going to [Target delay][Event them]. ”,[Agent Jag]ska [Target fördröja][Event dem].,[Agent I]Jag ska [Target försena][Event dem].
Change_event_time,[Agent I]have been [Target delaying][Event you].,[Agent Jag]har [Target försenat][Event du].,[Agent I]har blivit [Target fördröjning][Event du].
Change_event_time,Who will pay compensation if [Event one operators ' trains]are [Target delayed][Cause by a breakdown of a train by another operator]?,Vem kommer att betala [Target ersättning] om [Event en operatörs tåg] blir [Target försenat][Cause på grund av ett tågfel hos en annan operatör]?,Who will pay compensation if [Händelse ett operatörers tåg]är [Target försenade][Orsak av ett tågfel hos en annan operatör]?
Change_event_time,Traffic disruption and a shortage of change at the turnstiles saw [Event the kick-off][Target delayed][Interval by 15 minutes].,Trafikstörning och brist på växel vid biljettspärrarna gjorde att [Event avsparken][Target försenades][Interval med 15 minuter].,Traffic disruption and a shortage of change at the turnstiles saw [Event avsparket][Target försenat][Interval med 15 minuter].
Change_event_time,"[Cause Further studies]were [Target delaying][Interval by two years][Event measures to save Lake Ichkeul in Tunisia], which was in danger of being reduced to a salty lagoon after the damming in the 1970s of the six rivers feeding it . ","[Cause Ytterligare studier][Target fördröjde][Event åtgärder för att rädda sjön Ichkeul i Tunisien][Interval med två år], vilken var i fara att förvandlas till en salt lagun efter uppdämningen på 1970-talet av de sex floder som försörjer den .","[Cause Ytterligare studier]were [Target fördröja][Interval med två år][Event åtgärder för att rädda sjön Ichkeul i Tunisien], vilket var i fara att förvandlas till en salt lagun efter uppdämningen på 1970-talet av de sex floder som försörjer den ."
Change_event_time,"The Coronations were launched by an ever-publicity-conscious Luff , shortly before [Event his retirement], [Event which][Agent he][Target delayed][Destination_time until 1954]. ","The Coronations lanserades av en ständigt PR-medveten Luff, strax före [Event hans pensionering], [Event som][Agent han][Target skjöt upp][Destination_time till 1954].","The Coronations lanserades av en ständigt PR-medveten Luff, strax före [Event hans pensionering], [Event som][Agent han][Target fördröjde][Destination_time till 1954]."
Change_event_time,"` Saturday 's situation appears to have been caused because [Agent people][Target delayed][Event before going out into the rain]. "" ",Lördagens situation verkar ha orsakats eftersom [Agent människor][Target dröjde][Event innan de gick ut i regnet].,"Saturday 's situation appears to have been caused because [Agent människor][Target försenade][Event innan de gick ut i regnet]. """
Change_event_time,"Maybe if [Agent he]could [Target delay][Interval a little longer], Springfield would discover his sweep had failed to capture the ringleader and send men in to flush him out . ","Kanske om [Agent han] kunde [Target dröja][Interval lite längre], skulle Springfield upptäcka att hans razzia misslyckats med att fånga ledaren och skicka män för att få ut honom.","Kanske om [Agent han] kunde [Target fördröja][Interval lite längre], skulle Springfield upptäcka att hans razzia misslyckats med att fånga ledaren och skicka män för att få ut honom."
Change_event_time,"Some fear that if [Agent Mr Mieno][Target delays][Interval much longer], he risks overkill . ","Vissa fruktar att om [Agent herr Mieno][Target dröjer][Interval mycket längre], riskerar han överdrift.","Some fear that if [Agent Herr Mieno][Target fördröjer][Interval mycket längre], han riskerar överdrift ."
Change_event_time,"Consequently , he wants [Agent the Government]to [Target delay][Interval no longer], but to begin to devolve real responsibility to the people of Northern Ireland . ","Följaktligen vill han att [Agent regeringen][Interval inte längre]ska [Target dröja], men börja överlåta verkligt ansvar till folket i Nordirland.","Consequently , he wants [Agent regeringen] to [Target skjuta upp][Interval inte längre], but to begin to devolve real responsibility to the people of Northern Ireland ."
Change_event_time,He sent an army under Counts Hugh and Matfrid to help Bernard ; but [Agent the two commanders][Target delayed][Interval so long]en route [Interval that Muslim troops were able to ravage the county of Barcelona].,Han skickade en armé under grevarna Hugh och Matfrid för att hjälpa Bernard; men [Agent de två befälhavarna][Target dröjde][Interval så länge] [Interval att muslimska trupper kunde plundra grevskapet Barcelona].,Han skickade en armé under grevarna Hugh och Matfrid för att hjälpa Bernard; men [Agent de två befälhavarna][Target fördröjde][Interval så länge] på väg [Interval att muslimska trupper kunde plundra grevskapet Barcelona].
Change_event_time,"But she discovered [Agent she]had [Target delayed][Interval too long], for as she reached the hall , there before her , and as cool as you like , was Naylor . ","Men hon upptäckte att [Agent hon]hade [Target dröjt][Interval för länge], för just när hon nådde hallen, där framför henne, och lika lugn som du kan tänka dig, stod Naylor.","Men hon upptäckte [Agent hon]hade [Target försenat][Interval för länge], för just när hon nådde hallen, där framför henne, och lika lugn som du kan tänka dig, stod Naylor."
Change_event_time,[Cause US concerns about Iranian nuclear ambitions]are currently [Target delaying][Event the granting of IAEA fellowships to Iranian nationals].,[Cause USAs oro över Irans kärnenergiambitioner][Target fördröjer] för närvarande [Event beviljandet av IAEA-stipendier till iranska medborgare].,[Cause US oro över Irans kärnenergiambitioner] är för närvarande [Target fördröjning][Event av beviljandet av IAEA-stipendier till iranska medborgare].
Change_event_time,"The United States was dissatisfied with the postponement of safeguards inspections to verify Pyongyang 's past activities , and North Korea was dissatisfied with the [Target delayed][Event construction of the light water power reactors].","USA var missnöjda med uppskjutningen av skyddsinspektionerna för att verifiera Pyongyangs tidigare aktiviteter, och Nordkorea var missnöjda med [Target försenade][Event byggandet av lättvattenkraftreaktorerna].","USA var missnöjda med uppskjutningen av skyddsinspektionerna för att verifiera Pyongyangs tidigare aktiviteter, och Nordkorea var missnöjt med [Target försenad][Event byggandet av lättvattenkraftreaktorerna]."
Change_event_time,"Republican Senator John Cornyn , who leads the India Caucus in the US Senate along with Democratic Senator Hillary Clinton , Friday took the floor to answer [Agent Byron Dorgan , a critic of the deal][Agent who]has vowed to do all to [Target delay]if not stop [Event it].","Republikanske senatorn John Cornyn , som leder Indiakåren i USA:s senat tillsammans med demokratiske senatorn Hillary Clinton , tog på fredagen ordet för att svara [Agent Byron Dorgan , en kritiker av avtalet][Agent som]har lovat att göra allt för att [Target försena]om inte stoppa [Event det].","Republikanske senatorn John Cornyn , som leder Indiakåren i USA:s senat tillsammans med demokratiske senatorn Hillary Clinton , tog på fredagen ordet för att svara [Agent Byron Dorgan , en kritiker av avtalet][Agent som]har lovat att göra allt för att [Target försena]om inte stoppa [Event det]."
Change_event_time,Britain doubted whether [Agent the UN]could do more than to [Target postpone][Event the day when Soviet domination over Korea was established].,Storbritannien tvivlade på om [Agent FN] kunde göra mer än att [Target skjuta upp][Event dagen då det sovjetiska väldet över Korea etablerades].,Storbritannien tvivlade på om [Agent FN] kunde göra mer än att [Target skjuta upp][Event dagen då det sovjetiska väldet över Korea etablerades].
Change_event_time,"[Cause Permitting new supplies], as is suggested in paragraph 55 of draft MPG6 , only [Target postpones][Event the day when such a prospect has to be faced]. ","[Cause Tillåtandet av nya leveranser], som föreslås i punkt 55 i utkastet till MPG6, endast [Target fösenar][Event den dag då en sådan utsikt måste bemötas].","[Cause Tillåter nya leveranser], som föreslås i punkt 55 i utkastet till MPG6, endast [Target skjuter upp][Event den dag då en sådan utsikt måste bemötas]."
Change_event_time,"[Agent The Rolling Stones , George Harrison , Bob Dylan and Rod Stewart]are still strutting and fretting away , [Target postponing][Event the time when they are heard no more]. ","[Agent The Rolling Stones , George Harrison , Bob Dylan och Rod Stewart]spankulerar fortfarande omkring och oroar sig, [Target skjuter upp][Event den tidpunkt då man inte längre hör dem].","[Agent The Rolling Stones , George Harrison , Bob Dylan och Rod Stewart]spankulerar fortfarande omkring och oroar sig, [Target skjuter upp][Event den tidpunkt då man inte längre hör dem]."
Change_event_time,It is impossible to [Target postpone][Event childbearing]indefinitely without children being cancelled altogether .,Det är omöjligt att [Target skjuta upp][Event barnafödande] på obestämd tid utan att barn avbokas helt och hållet .,Det är omöjligt att [Target skjuta upp][Event barnafödande] på obestämd tid utan att barn avbokas helt och hållet .
